country,name,full_name,isin,currency,symbol
brazil,FII C JARDIM,FII C JARDIM,BRBBVJCTF001,BRL,BBVJ11
brazil,FII ABSOLUTO,FII ABSOLUTO,BRBPFFCTF002,BRL,BPFF11
brazil,FII BC FUND,FII BC FUND,BRBRCRCTF000,BRL,BRCR11
brazil,FII C TEXTIL,FII C TEXTIL,BRCTXTCTF014,BRL,CTXT11
brazil,FII CX TRX,FII CX TRX,BRCXTLCTF003,BRL,CXTL11
brazil,FII EUROPAR,FII EUROPAR,BREUROCTF011,BRL,EURO11
brazil,FII Rio Bravo Renda Corporativa,FII Rio Bravo Renda Corporativa,BRFFCICTF005,BRL,RCRB11
brazil,FII GEN SHOP,FII GEN SHOP,BRFIGSCTF009,BRL,FIGS11
brazil,FII FATORFIX,FII FATORFIX,BRFIXXCTF004,BRL,FIXX11
brazil,FII S F LIMA,FII S F LIMA,BRFLMACTF009,BRL,FLMA11
brazil,FII A BRANCA,FII A BRANCA,BRFPABCTF011,BRL,FPAB11
brazil,FII GWI RI,FII GWI RI,BRHMOCCTF005,BRL,HMOC11
brazil,FII CSHG CRI,FII CSHG CRI,BRHGCRCTF000,BRL,HGCR11
brazil,FII CSHG LOG,FII CSHG LOG,BRHGLGCTF004,BRL,HGLG11
brazil,FII HG REAL,FII HG REAL,BRHGRECTF006,BRL,HGRE11
brazil,FII JS REAL,FII JS REAL,BRJSRECTF007,BRL,JSRE11
brazil,FII KINEA RI,FII KINEA RI,BRKNCRCTF000,BRL,KNCR11
brazil,FII KII REAL,FII KII REAL,BRKNRECTF006,BRL,KNRE11
brazil,FII KINEA,FII KINEA,BRKNRICTF007,BRL,KNRI11
brazil,FII MAXI REN,FII MAXI REN,BRMXRFCTF008,BRL,MXRF11
brazil,FII THE ONE,FII THE ONE,BRONEFCTF003,BRL,ONEF11
brazil,FII D PEDRO,FII D PEDRO,BRPQDPCTF004,BRL,PQDP11
brazil,FII P VARGAS,FII P VARGAS,BRPRSVCTF008,BRL,PRSV11
brazil,FII JHSF FBV,FII JHSF FBV,BRRBBVCTF004,BRL,RBBV11
brazil,FII RIOBRCIB,FII RIOBRCIB,BRRBCBCTF004,BRL,RBCB11
brazil,FII RB GSB I,FII RB GSB I,BRRBGSCTF009,BRL,RBGS11
brazil,FII RB II,FII RB II,BRRBRDCTF008,BRL,RBRD11
brazil,FII RIOBCRI2,FII RIOBCRI2,BRRBVOCTF007,BRL,RBVO11
brazil,FII RD ESCRI,FII RD ESCRI,BRRDESCTF000,BRL,RDES11
brazil,FII BB R PAP,FII BB R PAP,BRRNDPCTF007,BRL,RNDP11
brazil,FII RIONEGRO,FII RIONEGRO,BRRNGOCTF003,BRL,RNGO11
brazil,FII SANT AGE,FII SANT AGE,BRSAAGCTF007,BRL,SAAG11
brazil,FII SDI LOG,FII SDI LOG,BRSDILCTF004,BRL,SDIL11
brazil,FII HIGIENOP,FII HIGIENOP,BRSHPHCTF008,BRL,SHPH11
brazil,FII SP DOWNT,FII SP DOWNT,BRSPTWCTF002,BRL,SPTW11
brazil,FII TBOFFICE,FII TBOFFICE,BRTBOFCTF006,BRL,TBOF11
brazil,FII TRX LOG,FII TRX LOG,BRTRXLCTF001,BRL,TRXL11
brazil,FII OLIMPIA,FII OLIMPIA,BRVLOLCTF009,BRL,VLOL11
brazil,FII FATOR VE,FII FATOR VE,BRVRTACTF008,BRL,VRTA11
brazil,FII XP MACAE,FII XP MACAE,BRXPCMCTF009,BRL,XPCM11
brazil,FII TRXE COR,FII TRXE COR,BRXTEDCTF006,BRL,XTED11
brazil,SANTANDER BRON,Banco Santander SA B3,BRSANBACNOR8,BRL,SANB3
brazil,SOMOS EDU S/A ON,Somos Educacao SA,BRSEDUACNOR1,BRL,SEDU3
brazil,Fras Le SA,Fras Le SA,BRFRASACNOR0,BRL,FRAS3
brazil,Duke Energy Intl Geracao Para,Duke Energy Intl Geracao Para,BRGEPAACNPR9,BRL,GEPA4
brazil,Ouro Fino Saude Animal Particip,Ouro Fino Saude Animal Particip,BROFSAACNOR7,BRL,OFSA3
brazil,Cosan Logistica SA,Cosan Logistica SA,BRRLOGACNOR4,BRL,RLOG3
brazil,Tec Toy SA,Tec Toy SA,BRTOYBACNOR4,BRL,TOYB3
brazil,Apple Inc BDR,Apple Inc BDR,BRAAPLBDR004,BRL,AAPL34
brazil,Abbott Laboratories BDR,Abbott Laboratories BDR,BRABTTBDR007,BRL,ABTT34
brazil,Amgen Inc BDR,Amgen Inc BDR,BRAMGNBDR004,BRL,AMGN34
brazil,Amazon.com Inc BDR,Amazon.com Inc BDR,BRAMZOBDR002,BRL,AMZO34
brazil,ArcelorMittal BDR,ArcelorMittal BDR,BRARMTBDR008,BRL,ARMT34
brazil,ATT Inc BDR,AT&T Inc BDR,BRATTBBDR007,BRL,ATTB34
brazil,American Express Co BDR,American Express Co BDR,BRAXPBBDR007,BRL,AXPB34
brazil,Berkshire Hathaway BDR,Berkshire Hathaway Inc BDR,BRBERKBDR002,BRL,BERK34
brazil,Bank of America Corp BDR,Bank of America Corp BDR,BRBOACBDR004,BRL,BOAC34
brazil,Caterpillar Inc BDR,Caterpillar Inc BDR,BRCATPBDR003,BRL,CATP34
brazil,Comcast Corp BDR,Comcast Corp BDR,BRCMCSBDR008,BRL,CMCS34
brazil,The Coca Cola Co BDR,The Coca-Cola Co BDR,BRCOCABDR002,BRL,COCA34
brazil,Cisco Systems Inc BDR,Cisco Systems Inc BDR,BRCSCOBDR004,BRL,CSCO34
brazil,Walt Disney Co BDR,Walt Disney Co BDR,BRDISBBDR006,BRL,DISB34
brazil,Exxon Mobil Corp BDR,Exxon Mobil Corp BDR,BREXXOBDR006,BRL,EXXO34
brazil,Ford Motor Co BDR,Ford Motor Co BDR,BRFDMOBDR008,BRL,FDMO34
brazil,General Electric Co BDR,General Electric Co BDR,BRGEOOBDR000,BRL,GEOO34
brazil,Goldman Sachs Group BDR,Goldman Sachs Group BDR,BRGSGIBDR008,BRL,GSGI34
brazil,Halliburton Co BDR,Halliburton Co BDR,BRHALIBDR004,BRL,HALI34
brazil,Home Depot Inc BDR,Home Depot Inc BDR,BRHOMEBDR002,BRL,HOME34
brazil,Hewlett Packard Co BDR,Hewlett-Packard Co BDR,BRHPQBBDR006,BRL,HPQB34
brazil,Intel Corp BDR,Intel Corp BDR,BRITLCBDR005,BRL,ITLC34
brazil,Johnson Johnson BDR,Johnson & Johnson BDR,BRJNJBBDR002,BRL,JNJB34
brazil,JPMorgan Chase Co BDR,JPMorgan Chase & Co BDR,BRJPMCBDR009,BRL,JPMC34
